"","Taxa","Identifier","Publication.Date.Authorship","Origin","Study.site","LatitudeSS","LongitudeSS","Year.of.treatment","In.situ.or.Ex.situ","Treatment.group.size","Life.Stage","Intervention.category.1","Treatment.used.1","Specific.treatment.used.1","Intervention.category.2","Treatment.used.2","Specific.treatment.used.2","Duration.of.intervention","Long.term.monitoring","Habitat.or.Individual","Scalability","Efficacy.Matrix","Efficacy.of.intervention","Trend.in.efficacy.score","Adverse.Effects","Usability","Therapeutic.or.Prophylactic","Dosage","Comments.Extras","Year.of.publication","Intervention.category.1.itra","PhyloName","Genus","Family","Order","SVLMx","Microhabitat","ClutchMn","Activity","Latitude","Climate","Habitat","TaxaGroup"
"66","Alytes obstetricans",181,"2013 - Geiger & Schmidt","Chalchofen, Switzerland","University of Zurich, Switzerland","","",2011,"Ex situ",NA,"Larvae","Chemical","Other","General Tonic®",NA,NA,NA,7,"N","H","Y","Infection matrix",3,NA,1,1,"Therapeutic","1.25 ml l−1","The results were assessed from the figure using the infection matrix . There was no information about the number of subjects per trial group.",2013,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"67","Alytes obstetricans",183,"2013 - Geiger & Schmidt","Chalchofen, Switzerland","University of Zurich, Switzerland","","",2011,"Ex situ",NA,"Larvae","Chemical","Other","General Tonic®",NA,NA,NA,7,"N","H","Y",NA,NA,NA,3,1,"Therapeutic","3.75 ml l−1","60% of the test subjects died and thus there was no data for zoospore count. There was no information about the number of subjects per trial group.",2013,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"68","Alytes obstetricans",91,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",2,NA,0,2,"Therapeutic","0.6 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"69","Alytes obstetricans",3,"2020 - Fernandez-Loras, Boyero, Bosch","Aragon, Spain","Abrevador, Aragon, Spain","41°23'08""N","0°42'04""W",2012,"In situ",NA,"Larvae","Population demographic","Removal","Total removal","Habitat","Drying","Drying",20,"Y","B","N","Infection matrix",4,"No change",0,1,"Therapeutic",NA,"There were no treatment group size because all of the larvae were removed, not a predetermined amount, and the total number of removed indiviudals was not reported. In addition, the data reported was the Bd load in the larvae present, which some years were missing data and therefore difficult to compare between sites, and thus the paper itself states that while they acheived zero Bd detection, it was not a sucessful erradication due to the increases in other sites. Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a N for scalability. The intervention duration was marked as 20 days because that is how long the habitat was dried for, the removal was not considered although it was performed for only one season. The infection load matrix was used, and because there was zero Bd load, this received a 4. ",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"70","Alytes obstetricans",175,"2013 - Geiger & Schmidt","Chalchofen, Switzerland","University of Zurich, Switzerland","","",2011,"Ex situ",NA,"Larvae","Chemical","Disinfectant","Virkon Aquatic®",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,1,"Therapeutic","1 mg l-1","The results were assessed from the figure using the infection matrix . There was no information about the number of subjects per trial group.",2013,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"71","Alytes obstetricans",231,"2016 - Loyau et al","Pyrenean Mountains, France",NA,"","",2011,"Ex situ",23,"Metamorph","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",1,NA,2,0,"Therapeutic","0.001%","Due to the high death rate and inefective clearance of Bd reported, we determined that this was not a scalable treatment. Prevelance matrix was used and only 5/23 subjects cleared Bd. ",2016,"Itraconazole","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"72","Alytes obstetricans",95,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",4,NA,0,2,"Therapeutic","1.4 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"73","Alytes obstetricans",7,"2020 - Fernandez-Loras, Boyero, Bosch","Aragon, Spain","Cuerda, Aragon, Spain","41°23'08""N","0°42'04""W",2012,"In situ",NA,"Larvae","Population demographic","Removal","Total removal","Habitat","Fencing","Fencing",45,"Y","B","N","Infection matrix",NA,NA,0,1,"Therapeutic",NA,"There were no treatment group size because all of the larvae were removed, not a predetermined amount, and the total number of removed indiviudals was not reported. In addition, the data reported was the Bd load in the larvae present, which some years were missing data and therefore difficult to compare between sites, and thus the paper itself states that while they acheived zero Bd detection, it was not a sucessful erradication due to the increases in other sites. Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a N for scalability. The intervention duration was marked as 45 days because that is how long the habitat was fenced off for, the removal was not considered although it was performed for only one season. The infection load matrix was used, and because no indiivudals were tested and results were inconlusive for 2013, this received an NA. ",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"74","Alytes obstetricans",184,"2013 - Geiger & Schmidt","Chalchofen, Switzerland","University of Zurich, Switzerland","","",2011,"Ex situ",NA,"Larvae","Chemical","Other","General Tonic®",NA,NA,NA,7,"N","H","Y",NA,NA,NA,3,1,"Therapeutic","5 ml l−1","All test subjects died and thus there was no data for zoospore count. There was no information about the number of subjects per trial group.",2013,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"75","Alytes obstetricans",83,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,2,"Therapeutic","0.02 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"76","Alytes obstetricans",226,"2020 - Bosch et al","Aragon, Spain","Puente del Perdon, Rascafria, Spain","","",2015,"Ex situ",60,"Larvae","Population demographic","Density","High density ",NA,NA,NA,150,"N","I","N","Infection matrix",1,NA,0,0,"Therapeutic","15 larvae/tank","Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a 0 for scalability. This paper did not take into account survivability of population, only infection load. The study resulted in an incerase of Bd load across all housed species (densities of 1, 5, and 15 larvae), resulting in a 0 for ES even though there was a slight decrease in infection at two and 3 months of observation. Because the duration of the intervention itself was the housing of individuals at different densities, the intervention duration the same as amount of time observed. ",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"77","Alytes obstetricans",225,"2020 - Bosch et al","Aragon, Spain","Puente del Perdon, Rascafria, Spain","","",2015,"Ex situ",30,"Larvae","Population demographic","Density","Low density ",NA,NA,NA,150,"N","I","N","Infection matrix",0,NA,0,0,"Therapeutic","5 larvae/tank","Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a 0 for scalability. This paper did not take into account survivability of population, only infection load. The study resulted in an incerase of Bd load across all housed species (densities of 1, 5, and 15 larvae), resulting in a 0 for ES even though there was a slight decrease in infection at two and 3 months of observation. Because the duration of the intervention itself was the housing of individuals at different densities, the intervention duration the same as amount of time observed. ",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"78","Alytes obstetricans",82,"2012 - Woodhams et al ","Switzerland",NA,"","",2010,"Ex situ",1,"Larvae","Chemical","Antifungal","Mandipropamid",NA,NA,NA,7,"N","H","Y","Infection matrix",0,NA,0,2,"Therapeutic","0.01 mg l-1","Since there was no average log transformed average of zoospore counts for the three controls, it was averaged from the figure (2.83 Approx). The infection matrix was used, but since the results were estimated from the figure it received a 2 for utility.",2012,"Other chemical","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"79","Alytes obstetricans",224,"2020 - Bosch et al","Aragon, Spain","Puente del Perdon, Rascafria, Spain","","",2015,"Ex situ",8,"Larvae","Population demographic","Density","Isolation ",NA,NA,NA,150,"N","I","N","Infection matrix",2,NA,0,0,"Therapeutic","1 larvae/tank","Removing all the larvae from a population does not seem as though it is a feasible intervention since it would need to be cyclical and the larvae would need to be housed until juveniles and then released, receiving a 0 for scalability. This paper did not take into account survivability of population, only infection load. The study resulted in an incerase of Bd load across all housed species (densities of 1, 5, and 15 larvae), resulting in a 0 for ES even though there was a slight decrease in infection at two and 3 months of observation. Because the duration of the intervention itself was the housing of individuals at different densities, the intervention duration the same as amount of time observed. ",2020,"Population demographic","Alytes obstetricans","Alytes","Alytidae","Anura",55,"Terrestrial",95.5,"Nocturnal",45.3270674304,"Temperate","Terrestrial","Alytidae"
"80","Ambystoma andersoni",237,"2018 - Michaels et al","Private Collection","Private Collection","","",NA,"Ex situ",2,"Adult","Chemical","Antifungal","Itraconazole",NA,NA,NA,6,"N","I","Y","Prevelance matrix",4,NA,2,0,"Therapeutic","0.01% Itrafungol","This study provided the results as number of subjects who tested negative after completing the treatment protocol. This resulted in prevelance matrix. ",2018,"Itraconazole","Ambystoma andersoni","Ambystoma","Ambystomatidae","Caudata",120.9,"Aquatic",0,NA,19.7550231116,"Tropical","Aquatic","Caudata"
"81","Ambystoma californiense",189,"2010 - Bowerman et al",NA,NA,"","",NA,"Ex situ",7,"Juvenile","Chemical","Antifungal","Terbinafine hydrochloride","Chemical","Other","Ethanol",5,"N","I","Y","Prevelance matrix",0,NA,0,2,"Therapeutic","0.0005%","This paper did not provide any zoospore or prevelance data other than stating that the infections had not been cleared from the groups treated. Prevelance matrix was used based on the table with results, but since no additional information was provided on whether all subjects cleared the infection nor the timelines, this received a 2 for utility.",2010,"Other chemical","Ambystoma californiense","Ambystoma","Ambystomatidae","Caudata",155,"fossorial",671,"Nocturnal",37.180583216,"Temperate","Terrestrial","Caudata"
"82","Ambystoma californiense",188,"2010 - Bowerman et al",NA,NA,"","",NA,"Ex situ",16,"Juvenile","Chemical","Antifungal","Terbinafine hydrochloride","Chemical","Other","Ethanol",5,"N","I","Y","Prevelance matrix",4,NA,0,2,"Therapeutic","0.005%","This paper did not provide any zoospore or prevelance data other than stating that the infections had been cleared from the groups treated. Prevelance matrix was used based on the table with results, but since no additional information was provided on whether all subjects cleared the infection nor the timelines, this received a 2 for utility.",2010,"Other chemical","Ambystoma californiense","Ambystoma","Ambystomatidae","Caudata",155,"fossorial",671,"Nocturnal",37.180583216,"Temperate","Terrestrial","Caudata"
"83","Ambystoma dumerilii",233,"2018 - Michaels et al","Parc de Thoiry, France","Parc de Thoiry, France","","",NA,"Ex situ",8,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",4,NA,0,0,"Therapeutic","0.01% Sporanox","This study provided the results as number of subjects who tested negative after completing the treatment protocol. This resulted in prevelance matrix. ",2018,"Itraconazole","Ambystoma dumerilii","Ambystoma","Ambystomatidae","Caudata",143.5,"Aquatic",550,NA,19.5735031952,"Tropical","Aquatic","Caudata"
"84","Ambystoma dumerilii",234,"2018 - Michaels et al","Parc de Thoiry, France","Parc de Thoiry, France","","",NA,"Ex situ",8,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"N","I","Y","Prevelance matrix",4,NA,0,0,"Therapeutic","0.005% Sporanox","This study provided the results as number of subjects who tested negative after completing the treatment protocol. This resulted in prevelance matrix. ",2018,"Itraconazole","Ambystoma dumerilii","Ambystoma","Ambystomatidae","Caudata",143.5,"Aquatic",550,NA,19.5735031952,"Tropical","Aquatic","Caudata"
"85","Ambystoma dumerilii",235,"2018 - Michaels et al","Chester Zoo, UK","Chester Zoo, UK","","",NA,"Ex situ",13,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,10,"N","I","Y","Prevelance matrix",NA,NA,3,0,"Therapeutic","0.01% Itrafungol","This study was discontinued after high mortality and side effects resulted in all animals being euthenized. ",2018,"Itraconazole","Ambystoma dumerilii","Ambystoma","Ambystomatidae","Caudata",143.5,"Aquatic",550,NA,19.5735031952,"Tropical","Aquatic","Caudata"
"86","Ambystoma dumerilii",232,"2018 - Michaels et al","Zoological Society of London, UK","London Zoo, UK","","",NA,"Ex situ",11,"Juvenile","Chemical","Antifungal","Itraconazole",NA,NA,NA,11,"N","I","Y","Prevelance matrix",4,NA,0,0,"Therapeutic","0.01% Sporanox","This study provided the results as number of subjects who tested negative after completing the treatment protocol. This resulted in prevelance matrix. ",2018,"Itraconazole","Ambystoma dumerilii","Ambystoma","Ambystomatidae","Caudata",143.5,"Aquatic",550,NA,19.5735031952,"Tropical","Aquatic","Caudata"
"87","Ambystoma mexicanum",236,"2018 - Michaels et al","Private Collection","Private Collection","","",NA,"Ex situ",4,"Adult","Chemical","Antifungal","Itraconazole",NA,NA,NA,6,"N","I","Y","Prevelance matrix",4,NA,0,0,"Therapeutic","0.01% Itrafungol","This study provided the results as number of subjects who tested negative after completing the treatment protocol. This resulted in prevelance matrix. ",2018,"Itraconazole","Ambystoma mexicanum","Ambystoma","Ambystomatidae","Caudata",127.5,"Aquatic",550,"Diurnal",19.1519549815,"Tropical","Aquatic","Caudata"
"88","Ambystoma tigrinum",116,"2011 - Tamukai et al ",NA,NA,"","",NA,"Ex situ",1,"Adult","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"N","I","Y","Infection matrix",4,NA,0,1,"Therapeutic","0.01%","Due to small test group size, this effected the utility score. The study stated that no sporagia were found on the subjects or in their habitat after the treatment, infection matrix. ",2011,"Itraconazole","Ambystoma tigrinum","Ambystoma","Ambystomatidae","Caudata",165,"fossorial",270.5,"Nocturnal",37.40943897746,"Temperate","Terrestrial","Caudata"
"89","Amerana sierrae",105,"2022 - Knapp et al","LeConte Basin, Kings Canyon National Park and Inyo National Forest, California, USA","LeConte Basin, Kings Canyon National Park and Inyo National Forest, California, USA","36°41'41""N","118°33'29""W",2015,"In situ",565,"Adult","Chemical","Antifungal","Itraconazole",NA,NA,NA,9,"Y","I","Y","Infection matrix",3,"No change",2,0,"Therapeutic",NA,"A total of 27% of the indiviudals in the treatment group died during the application of the treatment. Using the supplemental data, the averages of the zoospores (log transformed) were calculated. Using infection matrix, the first data point 6 months+ after the end of treatment resulted in a 1.6 unit difference. ",2022,"Itraconazole","Rana sierrae","Amerana","Ranidae","Anura",85,"Semi-aquatic",450,"Diurnal",38.4615678343,"Temperate","Aquatic","Ranidae"
"90","Amerana sierrae",106,"2022 - Knapp et al","Dusy Basin, Kings Canyon National Park and Inyo National Forest, California, USA","Dusy Basin, Kings Canyon National Park and Inyo National Forest, California, USA","36°41'41""N","118°33'29""W",2012,"In situ",256,"Juvenile","Bioaugmentation","Commensal Bacteria","Janthinobacterium lividum","Chemical","Antifungal","Itraconazole",2,"N","I","Y","Infection matrix",3,NA,0,2,"Therapeutic","75 and 150 mL of J. lividum culture per liter of lake water","Due to the high infection load, itraconazole was used and then J. lividum, but because the emphasis of this intervention was the skin microbe the Treatment 1 and 2 categories were organized from that. Control and wild populations were found to have J. lividum, suspected to have been transfered from the treatment group this could lead to furhter scalable trestment. Due to the experimental design having reduced the Bd loads with itraconozole in only the treated group prior to any exposure with the microbe, the Bd load post-treatment increased in comparisoon to the pre-treatment (post-intraconazole) load, but was still lower than the control group. Infection matrix found the eficacy to be 3, but due to the experimental design the study received a 2 in utility.",2022,"Bioaugmentation","Rana sierrae","Amerana","Ranidae","Anura",85,"Semi-aquatic",450,"Diurnal",38.4615678343,"Temperate","Aquatic","Ranidae"
"91","Amerana sierrae",103,"2022 - Knapp et al","Barrett Lakes Basin, Kings Canyon National Park and Inyo National Forest, California, USA","Barrett Lakes Basin, Kings Canyon National Park and Inyo National Forest, California, USA","36°41'41""N","118°33'29""W",2009,"In situ",979,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"Y","I","Y","Infection matrix",0,"No change",0,1,"Therapeutic",NA,"The study group was both larvae and juveniles, but the analysis of data did not separate the two. At week 6 there is a difference in load, but at week 52 (next analyzed data point) the control and treatment groups are the same. There was limited information about the data collected. The infection matrix was used and since this was a long-term monitored study, it received a 0. No information about the dosage was provided.",2022,"Itraconazole","Rana sierrae","Amerana","Ranidae","Anura",85,"Semi-aquatic",450,"Diurnal",38.4615678343,"Temperate","Aquatic","Ranidae"
"92","Amerana sierrae",104,"2022 - Knapp et al","Dusy Basin, Kings Canyon National Park and Inyo National Forest, California, USA","Dusy Basin, Kings Canyon National Park and Inyo National Forest, California, USA","36°41'41""N","118°33'29""W",2010,"In situ",3064,"Larvae","Chemical","Antifungal","Itraconazole",NA,NA,NA,7,"Y","I","Y","Infection matrix",0,"No change",0,1,"Therapeutic",NA,"The study group was both larvae and juveniles, but the analysis of data did not separate the two. At week 6 there is a difference in load, but at week 52 (next analyzed data point) the control and treatment groups are the same. There was limited information about the data collected. The infection matrix was used and since this was a long-term monitored study, it received a 0. No information about the dosage was provided.",2022,"Itraconazole","Rana sierrae","Amerana","Ranidae","Anura",85,"Semi-aquatic",450,"Diurnal",38.4615678343,"Temperate","Aquatic","Ranidae"
"93","Amietia hymenopus",153,"2018 - de Jong, van Dyk, Weldon","Mont-Aux-Sources, South Africa","North-West University, South Africa","","",NA,"Ex situ",20,"Larvae","Chemical","Disinfectant","F10SC",NA,NA,NA,7,"N","I","Y","Prevelance matrix",3,NA,0,0,"Therapeutic","0.01%","The paper provided information to deduce the efficacy from prevelance matrix. ",2018,"Other chemical","Strongylopus hymenopus","Amietia","Pyxicephalidae","Anura",65,"Semi-aquatic",350,NA,-29.5172930202,"Temperate","Aquatic","Other"
"94","Amietia hymenopus",154,"2018 - de Jong, van Dyk, Weldon","Mont-Aux-Sources, South Africa","North-West University, South Africa","","",NA,"Ex situ",20,"Larvae","Chemical","Disinfectant","F10SC",NA,NA,NA,9,"N","I","Y","Prevelance matrix",4,NA,0,0,"Therapeutic","0.01%","The paper provided information to deduce the efficacy from prevelance matrix. ",2018,"Other chemical","Strongylopus hymenopus","Amietia","Pyxicephalidae","Anura",65,"Semi-aquatic",350,NA,-29.5172930202,"Temperate","Aquatic","Other"
"95","Anaxyrus americanus",161,"2023 - Paetow et al","Big Creek National Wildlife Area, Ontario, Canada","Environment and Climate Change laboratory, Quebec, Canada","","",2007,"Ex situ",22,"Larvae","Chemical","Herbicide","Atrazine",NA,NA,NA,14,"N","H","Y","Survivability matrix",3,NA,0,1,"Prophylactic","18.0 μg/L","Study groups were treated for 14 days prior to 2 consecutive days of Bd exposure. There was no information about the zoospore count or comparision between dosages. Survivial matrix was used to determine efficacy. No scalability because this study did not provide information about the effects on already infected indiviudals, despite its potential for a preventative treatment option. ",2023,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"96","Anaxyrus americanus",314,"2021 - Cusaac et al","Tennessee, USA",NA,"","",NA,"Ex situ",5,"Juvenile","Chemical","Herbicide","Glyphosate",NA,NA,NA,1,"N","I","Y","Prevelance matrix",4,NA,0,1,"Therapeutic","4.2 mg a.e./L","This paper noted that as a result, no animals tested positive for Bd. No additional information was provided regarding the prevelance or infection of the indiviudals. Because of that and the small treatment group, this received a 1 in utility. ",2021,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"97","Anaxyrus americanus",164,"2023 - Paetow et al","Big Creek National Wildlife Area, Ontario, Canada","Environment and Climate Change laboratory, Quebec, Canada","","",2007,"Ex situ",22,"Larvae","Chemical","Herbicide","Glyphosate",NA,NA,NA,14,"N","H","Y","Survivability matrix",4,NA,0,1,"Prophylactic","70 μ a.e./L","Study groups were treated for 14 days prior to 2 consecutive days of Bd exposure. There was no information about the zoospore count or comparision between dosages. Survivial matrix was used to determine efficacy. No scalability because this study did not provide information about the effects on already infected indiviudals, despite its potential for a preventative treatment option. ",2023,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"98","Anaxyrus americanus",165,"2023 - Paetow et al","Big Creek National Wildlife Area, Ontario, Canada","Environment and Climate Change laboratory, Quebec, Canada","","",2007,"Ex situ",22,"Larvae","Chemical","Herbicide","Glyphosate",NA,NA,NA,14,"N","H","Y","Survivability matrix",4,NA,0,1,"Prophylactic","700 μ a.e./L","Study groups were treated for 14 days prior to 2 consecutive days of Bd exposure. There was no information about the zoospore count or comparision between dosages. Survivial matrix was used to determine efficacy. No scalability because this study did not provide information about the effects on already infected indiviudals, despite its potential for a preventative treatment option. ",2023,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"99","Anaxyrus americanus",160,"2023 - Paetow et al","Big Creek National Wildlife Area, Ontario, Canada","Environment and Climate Change laboratory, Quebec, Canada","","",2007,"Ex situ",22,"Larvae","Chemical","Herbicide","Atrazine",NA,NA,NA,14,"N","H","Y","Survivability matrix",3,NA,0,1,"Prophylactic","1.8 μg/L","Study groups were treated for 14 days prior to 2 consecutive days of Bd exposure. There was no information about the zoospore count or comparision between dosages. Survivial matrix was used to determine efficacy. No scalability because this study did not provide information about the effects on already infected indiviudals, despite its potential for a preventative treatment option. ",2023,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"100","Anaxyrus americanus",244,"2017 - Jones et al","Pennsylvania, USA","Oregon State University, Oregon, USA","","",2013,"Ex situ",NA,"Juvenile","Chemical","Herbicide","Herbicide mix",NA,NA,NA,14,"N","H","Y","Infection matrix",0,NA,0,1,"Therapeutic","25 μg/L.","This study created a water mixture with: atrazine; acetochlor; glyphosate; 2,4-D. Since no treatment group size was provided and the results were deduced from a figure, this received a 1 for utility. Infection matrix was used. ",2017,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"101","Anaxyrus americanus",162,"2023 - Paetow et al","Big Creek National Wildlife Area, Ontario, Canada","Environment and Climate Change laboratory, Quebec, Canada","","",2007,"Ex situ",22,"Larvae","Chemical","Herbicide","Atrazine",NA,NA,NA,14,"N","H","Y","Survivability matrix",3,NA,0,1,"Prophylactic","180 μg/L","Study groups were treated for 14 days prior to 2 consecutive days of Bd exposure. There was no information about the zoospore count or comparision between dosages. Survivial matrix was used to determine efficacy. No scalability because this study did not provide information about the effects on already infected indiviudals, despite its potential for a preventative treatment option. ",2023,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"102","Anaxyrus americanus",163,"2023 - Paetow et al","Big Creek National Wildlife Area, Ontario, Canada","Environment and Climate Change laboratory, Quebec, Canada","","",2007,"Ex situ",22,"Larvae","Chemical","Herbicide","Glyphosate",NA,NA,NA,14,"N","H","Y","Survivability matrix",0,NA,0,1,"Prophylactic","7 μ a.e./L","Study groups were treated for 14 days prior to 2 consecutive days of Bd exposure. There was no information about the zoospore count or comparision between dosages. Survivial matrix was used to determine efficacy. No scalability because this study did not provide information about the effects on already infected indiviudals, despite its potential for a preventative treatment option. ",2023,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"103","Anaxyrus americanus",159,"2023 - Paetow et al","Big Creek National Wildlife Area, Ontario, Canada","Environment and Climate Change laboratory, Quebec, Canada","","",2007,"Ex situ",22,"Larvae","Chemical","Herbicide","Atrazine",NA,NA,NA,14,"N","H","Y","Survivability matrix",0,NA,0,1,"Prophylactic","0.18 μg/L","Study groups were treated for 14 days prior to 2 consecutive days of Bd exposure. There was no information about the zoospore count or comparision between dosages. Survivial matrix was used to determine efficacy. ",2023,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"104","Anaxyrus americanus",166,"2023 - Paetow et al","Big Creek National Wildlife Area, Ontario, Canada","Environment and Climate Change laboratory, Quebec, Canada","","",2007,"Ex situ",22,"Larvae","Chemical","Herbicide","Glyphosate",NA,NA,NA,14,"N","H","Y",NA,NA,NA,3,1,"Prophylactic","7,000 μ a.e./L","Study groups were treated for 14 days prior to 2 consecutive days of Bd exposure. All subjects died within 4 days of exposure to herbicide treatment. ",2023,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"105","Anaxyrus americanus",245,"2017 - Jones et al","Pennsylvania, USA","Oregon State University, Oregon, USA","","",2013,"Ex situ",NA,"Juvenile","Chemical","Insecticide","Insecticide mix",NA,NA,NA,14,"N","H","Y","Infection matrix",0,NA,0,1,"Therapeutic","25 μg/L.","This study created a water mixture with: carbaryl; chlorpyrifos; endosulfan; permethrin. Since no treatment group size was provided and the results were deduced from a figure, this received a 1 for utility. Infection matrix was used. ",2017,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
"106","Anaxyrus americanus",246,"2017 - Jones et al","Pennsylvania, USA","Oregon State University, Oregon, USA","","",2013,"Ex situ",NA,"Juvenile","Chemical","Other","Ethanol",NA,NA,NA,14,"N","H","Y","Infection matrix",1,NA,0,1,"Therapeutic","26.5 μL","This was an ethanol vessel control, but since it was an application of Chemical, it was considered.  ince no treatment group size was provided and the results were deduced from a figure, this received a 1 for utility. Infection matrix was used. ",2017,"Other chemical","Anaxyrus americanus","Anaxyrus","Bufonidae","Anura",155,"Terrestrial",11150,"Nocturnal",45.7680701983,"Temperate","Terrestrial","Bufonidae"
